student_id,timestamp,task,model,student_story,teacher_story,model_output,perplexity,ave_conf,rouge1,rouge2,rougeL,rougeLsum,bleu,bertscore_P,bertscore_R,bertscore_F1,sbert_cosine
0,2025-10-18T04:39:00,generate_1,gpt-4o,"Uh.  A few weeks ago, uh, this boy want to swim in the - uh, swim in the ocean. But he found that he don't have enough mon - money for that. Then, he found a notice that wanted staff.  He want to be a staff to earn more money. And he become the staff and gets through a hard working. He get enough money  to swim in the ocean.  He was very happy.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"<He dreams of a sunny day at the beach, surrounded by friends enjoying the ocean.>",1.803204503988691,0.7107541138433844,0.17777777777777778,0.05555555555555555,0.13513513513513511,0.13513513513513511,0.0,0.5886139273643494,0.40510937571525574,0.4648178815841675,0.36769139766693115
1,2025-10-18T04:39:35,generate_1,gpt-4o,"﻿A few weeks ago, a man wanted swimming in the sea and then he found his wallet doesn't have any money. And so he held on the street.
He wants to find some ways to get money.
Suddenly---
---he saw a picture on the wall.
There is writing it 'Staff Wanted'.
About electrical good sales. And then he offer the job.
He become a staff in supermarket.
He sell - his jobs is to selling, um, um, what it is?  Computer.
Yeah and he is good at selling.
He has a lot of - he has a lot of customers. Um, most lately---
He get his first pages. Finally, he strength is come to.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"**Frame 1:** The man dreams of enjoying a day at the beach with friends, the sun shining brightly above.",2.1014456161867097,0.7077618446252271,0.1794871794871795,0.05263157894736842,0.15384615384615385,0.15384615384615385,0.0,0.4809967279434204,0.403401255607605,0.423411101102829,0.2409755140542984
2,2025-10-18T04:40:17,generate_1,gpt-4o," And - but he - he wants to travel maybe and he doesn't - he realized he doesn't have the money so accidentally he just saw a advertisement or notice about the staff wanted and he decided to - to apply for that job to get money.  And then he went - and then he went to do the part-time job, and he works as a sale assistant in a computer shop I think, electronic devices shop.  And then, uh - and then maybe after 1 month, he finally got his money. Then he - he - he - he - he - he gets the enough money to go travel with his friends, with his family.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,And he dreams of traveling to a sunny beach with his friends.,,,0.20689655172413793,0.07058823529411765,0.1839080459770115,0.1839080459770115,0.015173098104279612,0.6965866088867188,0.4410548806190491,0.5401225686073303,0.42441123723983765
3,2025-10-18T04:40:59,generate_1,gpt-4o,"A few weeks ago, a man went to tour, but they have no money, ... eh, and then he looked at the, uh, ... this so what - staff wanted. Um, so he bought - he bought - for the money, he went to the stop and sell the stamp - uh, sell the furnitures.  Then, he got the money, uh, so he had enough money to go to - to go to the tour and swim happily.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,A man daydreamed of a sunny beach vacation with his friends.,2.340226712801377,0.6474253260135151,0.1627906976744186,0.047619047619047616,0.1627906976744186,0.1627906976744186,0.0109428002186579,0.5911380052566528,0.3995963931083679,0.4546271860599518,0.3224935233592987
4,2025-10-18T04:41:35,generate_1,gpt-4o,"A man, a man, okay.  Uh, a few weeks ago, a man go to playing in the sea, um, it's not far away from his home  um, but unfortunately he lost his, um, money in the sea and then now he is very poor, uh, uh, and the - then he see a, um, staff wanted, uh, advertisement, uh, and then he became the staff, um, in the - how to say - a computer - in a computer - how to say - XXX  in English. Yes. XXX  and then he work in a com - computer shop. Um, after 1 month work he get the salary  and the - then he can go to the sea for playing again.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"A few weeks ago, a man enjoyed playing by the sea, not far from his home.",1.510475611284846,0.818503124618957,0.20338983050847456,0.10526315789473682,0.20338983050847456,0.20338983050847456,0.04977733776787226,0.6075998544692993,0.43419960141181946,0.5059061646461487,0.3286702036857605
5,2025-10-18T04:42:09,generate_1,gpt-4o,"A few weeks ago, one man went to swim. He, uh, he lost his money.  And he - and he had money - um, he can't - he - he couldn't come back.  So, he - he found - he found a part-time job as a - as a seller - seller. And - and - um, and firstly, he got his XXX .  He - he got his salary.  Oh, come back Japan.  XXX .
Oh, it's okay.  Oh, um - and - and he - he could - he - he could go on his trip - his trip.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,The man daydreamed about a sunny day at the beach with friends.,1.4357267563323275,0.7759963826565285,0.19718309859154928,0.05797101449275362,0.16901408450704228,0.16901408450704228,0.0,0.598395824432373,0.41163039207458496,0.4672514498233795,0.29831814765930176
6,2025-10-18T04:42:44,generate_1,gpt-4o,"A few weeks - a few weeks ago, a boy want to swimming in the sea. But he didn't have the enough money.   He - one day he - he - he saw a advertisement in the - in the wall, some - some staff wanted.He have a idea. He can - he can sell his computer to the customers and they will give the money.  So he - he got the enough money and  he swimming in the sea with her friends happily.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"A few weeks ago, a boy wanted to go swimming in the sea.",1.0834751600415902,0.9348858765185772,0.2857142857142857,0.14814814814814814,0.25000000000000006,0.25000000000000006,0.03814075197841362,0.7543864250183105,0.4852335453033447,0.5905900597572327,0.503381609916687
7,2025-10-18T04:43:20,generate_1,gpt-4o,"Uh, a few weeks ago, the boy wanted to, uh, travel---
---and he wanted to swimming in the sea.  But he find himself with, uh, have no money - had no money.  So, um, he didn't know - he didn't know how to do it - how to do with it. Uh, then he found - he found a advertisement, which is a staff wanted advertisement. And they find as a man - he find a man and sold - and sold the - the - and sold the - the computer, I guess. Um, and then he received some money, which is enough for him to travel to a beach and swim in the sea.  Finally, he reached his dream.
That's all.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"The boy imagined a sunny day at the beach, swimming and playing in the sea with friends.",1.7695757459023744,0.6722495899498844,0.23684210526315788,0.06666666666666667,0.21052631578947367,0.21052631578947367,0.0,0.6393307447433472,0.4427928626537323,0.5204576253890991,0.3957265019416809
8,2025-10-18T04:43:58,generate_1,gpt-4o,"Okay.    Okay, uh, uh, a few weeks ago, a - a boy wanted to swimming and the - and he found such - he didn't have, uh, enough money. And then he saw a people - a people write here, staff wanted. And - and - and he did this part-time job of seller - a seller, yeah, uh, that, uh, sell computer to customers. And, uh, he earned the enough money to swimming, yeah.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"And a few weeks ago, a boy wanted to go swimming.",1.4335354320217193,0.8582583632627749,0.33333333333333337,0.15384615384615385,0.2592592592592593,0.2592592592592593,0.02535700267817325,0.7591885924339294,0.47920680046081543,0.5840895771980286,0.5697229504585266
9,2025-10-18T04:44:32,generate_1,gpt-4o,"Mmm, a few weeks ago, um - um, boy, mm, suddenly - um, suddenly thinking - uh, suddenly thought that, uh, uh, he want - he wanted to, uh, swimming - he want to swim, uh, in the pool, and - but - but he didn't have enough money. Mmm, at that moment, he - uh, he watched the - uh, uh, ad - advertisement, mm, in the, uh, comu - computer - computer company, uh, mm, employ some, mm, employees.  So, mm, he - he - he, mm, mm, determined to go, uh, and try it. Uh, then, uh, that manager, uh, determined to, uh, employ he.  Uh, at last, he, uh, make some money - he made some money and he went to swimming.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"<The man is daydreaming about a sunny day at the beach with friends, wishing he could join them for some fun in the water.>",1.6700222714349116,0.7272234632855619,0.21686746987951805,0.06666666666666667,0.1616161616161616,0.1616161616161616,0.0,0.5606111884117126,0.4397481679916382,0.4725392758846283,0.30492937564849854
10,2025-10-18T04:45:07,generate_1,gpt-4o,"A few weeks ago, a boy wanted - wanted to went surfing in the sea. And - but he found he has no money to pay for it  and to play it, so she want - he - he want - he want to find a part-time job to offer this pace - planning.  So she - uh, so he - his side - he - he - he saw or - mm, he saw - saw - he saw notice about the - uh, the here - the - here some employees to sales computers,  so he, um, joined his and, uh, he has - he has a computer sellers to, uh, find - he - he - he has a computer sellers to put - to promote - promote this computer sales to other peoples and he has a influen - because of his knowledges and, uh, communicate skills, he has - he has sales a lot of computers so that the - uh, so that employers give her - give - give - give him a lot of salary - salary - salaries.  
He has a lot of money that he can go to the sail - he can go to the, uh, sea to wind surf with other peoples and his - and his friend - friends.
That's all.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,<The boy decided to seize the opportunity and explore the staff wanted notice.>,,0.5710029927044382,0.16666666666666666,0.028571428571428574,0.1590909090909091,0.1590909090909091,0.0,0.49158206582069397,0.42791590094566345,0.45754486322402954,0.3413194715976715
11,2025-10-18T04:45:38,generate_1,gpt-4o,"Okay, a man wanted to go to the beach  but he has no money, and then he found a job   and he does the job and he got money.  And then now he can go to the beach.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"<Now, he's enjoying a sunny day at the beach with friends.>",1.6706864095793557,0.7443959873863663,0.16901408450704228,0.05797101449275362,0.16901408450704228,0.16901408450704228,0.0,0.5653838515281677,0.4108138978481293,0.46573686599731445,0.3364013731479645
